"","n","c4","d2","d3"
"1",2,0.797125204405143,1.12730527497918,0.851303757990583
"2",3,0.886156274335393,1.69241263882689,0.889707688672854
"3",4,0.921355467310491,2.05911656525052,0.879054700672109
"4",5,0.940042767037452,2.32617620996453,0.864499362138334
"5",6,0.951404601992178,2.53441022939422,0.84859670530307
"6",7,0.959338326087854,2.70460503942315,0.833978623966528
"7",8,0.964320308620015,2.84548115487656,0.819459086424714
"8",9,0.969515447672425,2.97035103026311,0.807607872319876
"9",10,0.972992159239038,3.07855967464982,0.796870241996075
